Time,Open,High,Low,Close,Volume,RSI,SMA
2024-08-05 00:29:59,27.01,27.45,27,27.3,9073.29,0,0
2024-08-05 01:29:59,27.3,27.42,27.11,27.18,3712.79,0,0
2024-08-05 02:29:59,27.18,27.46,27.1,27.23,5862.69,0,0
2024-08-05 03:29:59,27.22,27.27,26.72,26.77,5159.86,0,0
2024-08-05 04:29:59,26.78,27.06,25.16,25.5,32617,0,0
2024-08-05 05:29:59,25.5,25.56,22.77,24.21,68892.09,0,0
2024-08-05 06:29:59,24.22,24.26,23.47,24.17,32443.47,0,0
2024-08-05 07:29:59,24.18,24.26,23.62,24,18826.49,0,0
2024-08-05 08:29:59,24.01,24.53,23.97,24.19,19747.45,0,0
2024-08-05 09:29:59,24.22,24.37,23.24,23.88,36263.78,0,0
2024-08-05 10:29:59,23.9,24.04,21.77,23.39,68753.99,0,0
2024-08-05 11:29:59,23.38,25.19,23.24,24.96,32194.75,0,0
2024-08-05 12:29:59,24.96,25.08,24.28,24.56,23459.64,0,0
2024-08-05 13:29:59,24.59,24.72,24.21,24.58,17134.64,0,0
2024-08-05 14:29:59,24.58,24.59,23.74,23.84,20086.89,25.702247191011246,0
2024-08-05 15:29:59,23.86,23.9,23.03,23.89,24623.73,26.259918507398687,0
2024-08-05 16:29:59,23.89,24.12,23.21,23.36,26602.3,24.187470560527572,0
2024-08-05 17:29:59,23.37,24.93,23,24.86,42341.26,38.887559369078986,0
2024-08-05 18:29:59,24.86,26,24.85,25.86,37777.72,46.35545080772794,0
2024-08-05 19:29:59,25.86,26.6,25.58,26.48,31770.05,50.40220744987525,25.0105
2024-08-05 20:29:59,26.47,27.12,26.28,26.48,26242.36,50.40220744987525,24.9695
2024-08-05 21:29:59,26.48,26.96,26.39,26.78,12975.12,52.41656344079235,24.9495
2024-08-05 22:29:59,26.79,26.79,25.61,25.65,16879.91,45.002557284877895,24.8705
2024-08-05 23:29:59,25.65,25.96,25.45,25.76,20239.42,45.80614514474709,24.82
2024-08-06 00:29:59,25.77,26.2,25.72,25.99,12140.62,47.532388421118824,24.8445
2024-08-06 01:29:59,25.98,26.3,25.74,25.9,10106.2,46.90280951158901,24.929
2024-08-06 02:29:59,25.89,26.22,25.77,26.06,5809.96,48.21597214980542,25.0235
2024-08-06 03:29:59,26.04,26.27,25.79,25.8,6005.08,46.21576413772296,25.1135
2024-08-06 04:29:59,25.81,26.97,25.78,26.96,11272.13,55.154436947479,25.252
2024-08-06 05:29:59,26.96,27.2,26.48,26.53,8380.58,51.72284535047312,25.384499999999996
2024-08-06 06:29:59,26.52,26.69,26.42,26.6,5281.99,52.243751650681446,25.544999999999998
2024-08-06 07:29:59,26.55,26.84,26.52,26.72,6431.78,53.17646887310833,25.633
2024-08-06 08:29:59,26.72,27.02,26.65,26.94,5446.34,54.914982714189996,25.752
2024-08-06 09:29:59,26.94,27.32,26.81,27.28,6107.76,57.53887729761241,25.887
2024-08-06 10:29:59,27.3,27.48,27.14,27.29,6689.82,57.61700616702976,26.059500000000003
2024-08-06 11:29:59,27.29,27.39,27.11,27.32,7889.01,57.867469152092966,26.231000000000005
2024-08-06 12:29:59,27.3,27.32,26.43,26.6,12082.06,50.200007257646625,26.393000000000008
2024-08-06 13:29:59,26.59,26.69,26.43,26.69,9338.49,51.07270339572894,26.484500000000008
2024-08-06 14:29:59,26.66,26.7,26.42,26.58,4925.45,49.921229992764886,26.52050000000001
2024-08-06 15:29:59,26.59,26.76,26.42,26.6,5919.01,50.14133388053668,26.52650000000001
2024-08-06 16:29:59,26.58,26.7,26.37,26.45,6141.15,48.422372684983294,26.525000000000013
2024-08-06 17:29:59,26.44,26.67,26.22,26.46,12442.03,48.54900873639652,26.509000000000015
2024-08-06 18:29:59,26.46,27.39,26.45,27.02,15004.34,55.184817750184855,26.577500000000015
2024-08-06 19:29:59,27.02,27.17,26.65,26.95,8189.89,54.243060412590026,26.637000000000018
2024-08-06 20:29:59,26.94,27.32,26.88,27.14,7669.62,56.41713967613057,26.694500000000016
2024-08-06 21:29:59,27.11,27.26,26.91,26.91,4232.33,53.12644150411361,26.745000000000015
2024-08-06 22:29:59,26.91,27.17,26.88,26.99,5582.39,54.12866640038047,26.791500000000013
2024-08-06 23:29:59,26.98,27.19,26.93,26.95,5251.98,53.512571280379476,26.84900000000001
2024-08-07 00:29:59,26.94,27.11,26.72,26.84,7361.65,51.76757058989515,26.84300000000001
2024-08-07 01:29:59,26.84,27.02,26.71,26.96,3712.34,53.547181650784246,26.864500000000014
2024-08-07 02:29:59,27,27.22,26.74,26.9,4075.76,52.504063356820474,26.879500000000014
2024-08-07 03:29:59,26.89,26.97,26.69,26.8,4190.93,50.73029159744846,26.88350000000001
2024-08-07 04:29:59,26.83,26.92,26.53,26.74,5227.2,49.64654002279731,26.873500000000007
2024-08-07 05:29:59,26.77,27.25,26.52,27.24,5314.04,57.74721425843595,26.871500000000008
2024-08-07 06:29:59,27.24,27.43,26.96,27.06,5396.83,54.35694586395341,26.860000000000007
