Time,Open,High,Low,Close,Volume,RSI,SMA
2024-07-30 14:29:59,13.57,13.62,13.49,13.54,88694.66,0,0
2024-07-30 15:29:59,13.55,13.57,13.5,13.53,22133.27,0,0
2024-07-30 16:29:59,13.53,13.65,13.48,13.6,67776.7,0,0
2024-07-30 17:29:59,13.6,13.68,13.51,13.52,37617.22,0,0
2024-07-30 18:29:59,13.51,13.56,13.46,13.48,47235.47,0,0
2024-07-30 19:29:59,13.47,13.59,13.43,13.55,47499.9,0,0
2024-07-30 20:29:59,13.55,13.57,13.46,13.46,24933.43,0,0
2024-07-30 21:29:59,13.46,13.46,13.26,13.28,97577.22,0,0
2024-07-30 22:29:59,13.27,13.31,13.18,13.24,69950.58,0,0
2024-07-30 23:29:59,13.23,13.23,13.07,13.14,82855.46,0,0
2024-07-31 00:29:59,13.14,13.18,12.98,13.13,104357.24,0,0
2024-07-31 01:29:59,13.13,13.24,13,13.21,115324.39,0,0
2024-07-31 02:29:59,13.21,13.22,13.11,13.19,56406.19,0,0
2024-07-31 03:29:59,13.18,13.23,13.13,13.14,46463.28,0,0
2024-07-31 04:29:59,13.13,13.28,13.07,13.28,55250.59,36.73469387755102,0
2024-07-31 05:29:59,13.28,13.31,13.2,13.25,54951.69,35.56231003039515,0
2024-07-31 06:29:59,13.26,13.32,13.22,13.24,36167.36,35.15950069348129,0
2024-07-31 07:29:59,13.23,13.3,13.21,13.26,24015.16,36.703697274778676,0
2024-07-31 08:29:59,13.25,13.26,13.12,13.2,33805.08,34.08141302380246,0
2024-07-31 09:29:59,13.2,13.3,13.09,13.27,111974.86,39.511126607396875,0
2024-07-31 10:29:59,13.26,13.42,13.25,13.33,96845.06,43.785342864567944,0
2024-07-31 11:29:59,13.33,13.35,13.28,13.31,42105.69,42.70217827448434,0
2024-07-31 12:29:59,13.31,13.32,13.15,13.18,85968.61,36.39907916453034,0
2024-07-31 13:29:59,13.19,13.24,13.17,13.2,38176.28,37.91733781822432,0
2024-07-31 14:29:59,13.19,13.2,13.1,13.12,54334.85,34.38179882685253,0
2024-07-31 15:29:59,13.12,13.16,13.1,13.15,29807.61,36.76304710764423,0
2024-07-31 16:29:59,13.15,13.2,13.11,13.14,41485.78,36.29029412714846,0
2024-07-31 17:29:59,13.14,13.27,13.12,13.18,78028.74,39.63423185223156,0
2024-07-31 18:29:59,13.18,13.23,13.05,13.14,84929.05,37.513781498863246,0
2024-07-31 19:29:59,13.14,13.16,13.07,13.07,24488.08,34.07779189166178,13.277666666666665
2024-07-31 20:29:59,13.08,13.14,12.95,13,57365.49,31.01820788083228,13.259666666666664
